support,opposition,modal_regime,seed_disagreement,symmetric_fixed_point,lambda_symmetric,lambda_antisymmetric,symmetric_fixed_stable,n_collapse,n_equilibrium,n_lock_in,n_oscillation,n_unresolved,regime_transition_candidate,bifurcation_candidate
-1.25,12.0,lock-in,False,0.1078550513,-0.7697787135,1.1546680702,False,0,0,7,0,0,True,False
-1.25,12.25,lock-in,False,0.1064134636,-0.7844895164,1.1648480698,False,0,0,7,0,0,True,False
-1.25,12.5,lock-in,False,0.1050189845,-0.7989149777,1.1748749672,False,0,0,7,0,0,True,False
-1.25,12.75,lock-in,False,0.1036691478,-0.8130662362,1.1847536584,False,0,0,7,0,0,True,False
-1.25,13.0,lock-in,False,0.1023616640,-0.8269537836,1.1944887986,False,0,0,7,0,0,True,False
-1.25,13.25,lock-in,False,0.1010944044,-0.8405875138,1.2040848171,False,0,0,7,0,0,True,False
-1.25,13.5,lock-in,False,0.0998653868,-0.8539767678,1.2135459331,False,0,0,7,0,0,True,False
-1.25,13.75,lock-in,False,0.0986727627,-0.8671303742,1.2228761688,False,0,0,7,0,0,True,False
-1.25,14.0,lock-in,False,0.0975148061,-0.8800566867,1.2320793614,False,0,0,7,0,0,True,False
-1.0,0.0,equilibrium,False,0.9406126804,0.2234418635,0.0000000000,True,0,7,0,0,0,False,False
-1.0,0.25,equilibrium,False,0.9207732375,0.2735620597,0.0182374706,True,0,7,0,0,0,False,False
-1.0,0.5,equilibrium,False,0.8935354688,0.3329544219,0.0475649174,True,0,7,0,0,0,False,False
-1.0,0.75,equilibrium,False,0.8559059603,0.4008255790,0.0924982105,True,0,7,0,0,0,False,False
-1.0,1.0,equilibrium,False,0.8041539531,0.4724711184,0.1574903728,True,0,7,0,0,0,False,False
-1.0,1.25,equilibrium,False,0.7354647345,0.5350299867,0.2431954485,True,0,7,0,0,0,False,False
-1.0,1.5,equilibrium,False,0.6531294145,0.5663784560,0.3398270736,True,0,7,0,0,0,False,False
-1.0,1.75,equilibrium,False,0.5703544878,0.5513630536,0.4288379306,True,0,7,0,0,0,False,False
-1.0,2.0,equilibrium,False,0.5000000000,0.5000000000,0.5000000000,True,0,7,0,0,0,False,False
-1.0,2.25,equilibrium,False,0.4448450857,0.4321763870,0.5556553547,True,0,7,0,0,0,False,False
